,coefficient,odds_ratio,ci_lower,ci_upper,p_value
Intercept,0.4269822802058517,1.5326255036749705,1.1683752016460092,2.0104337469725175,0.00204312686620766
long_view_rate_t,0.18886800481298974,1.2078815074146851,0.808718076891183,1.8040622284132328,0.35614765865820697
prior_7d_sessions_per_day,0.4881532675617638,1.629304550372406,1.5182350362912271,1.748499576421985,7.81940273587712e-42
prior_7d_avg_minutes_per_session,-0.005867162583657822,0.994150015602577,0.9911512259932445,0.9971578782361717,0.0001409449421304407
sessions_t,0.3271244856433306,1.3869741248002128,1.2955907287525505,1.4848031713823184,5.1104014540108635e-21
