,coefficient,incidence_rate_ratio,ci_lower,ci_upper,p_value
Intercept,2.7579651521016952,15.76772535932994,14.871601238519693,16.717847595542715,0.0
long_view_rate_t,-0.13427471714529066,0.8743498327169065,0.8286715425399073,0.9225460157940275,9.353808098222695e-07
prior_7d_sessions_per_day,0.15437107546069043,1.166923823242723,1.1589787208304865,1.174923391411066,0.0
prior_7d_avg_minutes_per_session,0.0011540614398969323,1.0011547276250488,1.0005499077455358,1.0017599131105988,0.0001818292225979859
alpha,0.08040014864244464,1.083720630263422,1.072575144603035,1.0949819323784704,1.822804655270835e-52
