,coefficient,odds_ratio,ci_lower,ci_upper,p_value
Intercept,0.8735383582217814,2.395371558843298,1.8391220275834277,3.1198609003964473,9.226865003769685e-11
long_view_rate_t,0.08358323713997831,1.0871757049231079,0.7161124984069591,1.6505102424610474,0.6947756960258171
prior_7d_sessions_per_day,0.6723436540465854,1.9588227480693459,1.8483422527903315,2.0759069661267957,4.600393864760949e-114
prior_7d_avg_minutes_per_session,-0.0024968372204484807,0.9975062772849274,0.9948072855278512,1.0002125916225784,0.07088817335554254
