,coefficient,incidence_rate_ratio,ci_lower,ci_upper,p_value
Intercept,2.6967886632542166,14.832024538536697,14.035395645222872,15.67386894338321,0.0
long_view_rate_t,-0.10689002376034248,0.8986244948989881,0.8550507806924851,0.9444187422160654,2.498545720657284e-05
prior_7d_sessions_per_day,0.12560856801314568,1.1338382608456936,1.125948348502325,1.1417834605535926,2.7938470971474917e-272
prior_7d_avg_minutes_per_session,0.000810928378434765,1.0008112572697487,1.0002376380844487,1.001385205415845,0.005566783676809664
sessions_t,0.0387568225622042,1.0395176656691083,1.0361019191645306,1.0429446729618073,7.424689013963116e-118
alpha,0.07294408141164518,1.0756703852634424,1.065525409633506,1.0859119522365803,1.9644161120381332e-51
