metric_type,metric,control_rate,treatment_rate,absolute_lift_pp,relative_lift,odds_ratio,ci_lower,ci_upper,p_value
primary,long_view,0.08455882352941177,0.08376123234916559,-0.07975911802461794,-0.00943238265334612,0.9897053224701239,0.8255222814823713,1.1865417170409944,0.9109721009954818
secondary,is_like,0.004006410256410256,0.007060333761232349,0.3053923504822093,0.7622593068035944,1.7676793793648313,0.5211849149618,5.995358458255949,0.36061215738778263
secondary,is_follow,0.0001885369532428356,0.00018338529249954154,-0.0005151660743294068,-0.027324408582431736,0.9726705796812132,0.2463237912492542,3.840831012624535,0.9684563445074548
secondary,is_comment,9.42684766214178e-05,0.0005043095543737392,0.04100410777523214,4.349715752796625,5.351910462819951,1.0426205376829176,27.472071158023326,0.04443385072218582
guardrail,is_hate,0.000942684766214178,0.0006876948468732808,-0.02549899193408972,-0.27049330643682373,0.7293205486998849,0.12963360840021906,4.103167915481726,0.7202405689245468
